sample_index,true_label,true_emotion,predicted_label,predicted_emotion,confidence,correct,prob_angry,prob_disgust,prob_fear,prob_happy,prob_sad,prob_surprise,prob_neutral
316,0,angry,1,disgust,0.9991974234580994,False,0.0006956697907298803,0.9991974234580994,2.342555671930313e-05,4.076335358149663e-07,5.287207750370726e-05,2.4965476768556982e-05,5.22207028552657e-06
4117,6,neutral,1,disgust,0.9860784411430359,False,0.01184944435954094,0.9860784411430359,0.00088510598288849,0.00012371176853775978,0.0005004777922295034,0.000458474358310923,0.00010435235890327021
1492,2,fear,6,neutral,0.9843467473983765,False,0.0008322044159285724,1.677666773503006e-06,0.004108136519789696,0.004691690672188997,0.005386241711676121,0.0006331861950457096,0.9843467473983765
6003,4,sad,6,neutral,0.9823809862136841,False,0.0006087389192543924,4.842198904952966e-06,0.0045847841538488865,0.00546039454638958,0.0028118907939642668,0.004148399922996759,0.9823809862136841
986,1,disgust,0,angry,0.9794585704803467,False,0.9794585704803467,0.004187014885246754,0.014299645088613033,0.0002527257602196187,0.0013927744003012776,0.0003550443216226995,5.436337232822552e-05
713,0,angry,1,disgust,0.9771932363510132,False,0.01832675002515316,0.9771932363510132,0.0034246225841343403,2.878001942008268e-05,0.0009527044021524489,7.129240111680701e-05,2.6324471491534496e-06
1878,2,fear,5,surprise,0.975939154624939,False,0.00023851191508583724,1.6291149904645863e-06,0.01352793350815773,0.0058533428236842155,7.357409049291164e-05,0.975939154624939,0.004365816712379456
1094,2,fear,5,surprise,0.9701128005981445,False,4.390248432173394e-05,1.1256904599576956e-06,0.019400449469685555,0.0011705782962962985,0.0017492714105173945,0.9701128005981445,0.007521797437220812
2622,3,happy,5,surprise,0.9665416479110718,False,0.00047967591672204435,7.888170512160286e-05,0.019416792318224907,0.011962766759097576,0.0006508709629997611,0.9665416479110718,0.0008693300769664347
4304,6,neutral,3,happy,0.9646283984184265,False,0.0003932319232262671,8.171744411811233e-06,2.537416003178805e-05,0.9646283984184265,0.00305254478007555,0.007893859408795834,0.023998387157917023
2063,2,fear,5,surprise,0.9610661268234253,False,0.0023809431586414576,1.8112034013029188e-05,0.012516012415289879,0.002402275800704956,0.006923055276274681,0.9610661268234253,0.01469346135854721
5915,4,sad,0,angry,0.9602270722389221,False,0.9602270722389221,0.0034021628089249134,0.032987333834171295,2.5438435841351748e-05,0.003230062546208501,0.00012149768008384854,6.50821857561823e-06
4347,6,neutral,4,sad,0.9592534303665161,False,0.00023790339764673263,2.132092731699231e-06,0.009840521030128002,0.006803594063967466,0.9592534303665161,0.00017624214524403214,0.023686222732067108
1151,2,fear,6,neutral,0.9571259617805481,False,0.0013369086664170027,6.692266651953105e-07,0.003613199107348919,0.009881366975605488,0.02280174382030964,0.005240260157734156,0.9571259617805481
1648,2,fear,5,surprise,0.9551502466201782,False,0.00020189466886222363,2.006942622756469e-06,0.04192925617098808,0.0008117126999422908,0.00045749478158541024,0.9551502466201782,0.0014472909970209002
4824,6,neutral,3,happy,0.9531554579734802,False,0.0015607712557539344,0.00013043591752648354,0.0010197705123573542,0.9531554579734802,0.0065526277758181095,0.0038080159574747086,0.03377285972237587
1281,2,fear,5,surprise,0.9521490931510925,False,0.00010859985195565969,9.285503210776369e-07,0.047000933438539505,0.000596126657910645,7.169747550506145e-05,0.9521490931510925,7.26087237126194e-05
